# BlackArch Toolbox — distro-neutral tool catalogue
#
# Used by the `catalog` backend on every platform that lacks BlackArch's pacman
# groups (Debian, Ubuntu, Kali, Parrot, Fedora, openSUSE, Alpine, macOS, WSL).
# A row is shown in the menu only if its <binary> resolves on PATH, so it never
# matters HOW the tool was installed (apt, dnf, pipx, go, cargo, a raw tarball)
# — if it runs, it appears; if it isn't installed, it's silently skipped.
#
# Format (tab-separated):  <binary>\t<category>\t<one-line description>
# Categories must match a token in data/sections.conf.
#
# This is a curated set of the tools people actually reach for, not an attempt
# to mirror all 4000+ BlackArch packages. To add your own, append a line — see
# docs/ADDING-TOOLS.md. Keep it sorted by category for readability.

# ── recon ────────────────────────────────────────────────────────────────
nmap	recon	Network exploration tool and security / port scanner
masscan	recon	TCP port scanner, spews SYN packets asynchronously
rustscan	recon	Modern fast port scanner that feeds nmap
amass	recon	In-depth attack surface mapping and asset discovery
subfinder	recon	Fast passive subdomain enumeration tool
assetfinder	recon	Find domains and subdomains related to a domain
findomain	recon	Fast cross-platform subdomain enumerator
dnsx	recon	Fast and multi-purpose DNS toolkit
dnsrecon	recon	DNS enumeration and reconnaissance script
dnsenum	recon	Enumerate DNS information of a domain
fierce	recon	DNS reconnaissance tool for locating non-contiguous IP space
theharvester	recon	Gather emails, subdomains, hosts, and names from public sources
recon-ng	recon	Full-featured web reconnaissance framework
spiderfoot	recon	Automated OSINT collection and attack-surface monitoring
shodan	recon	Command-line interface to the Shodan search engine
waybackurls	recon	Fetch known URLs from the Wayback Machine for a host
gau	recon	Get All URLs — fetch known URLs from multiple sources
httpx	recon	Fast and multi-purpose HTTP toolkit / prober
katana	recon	Next-generation crawling and spidering framework
hakrawler	recon	Fast web crawler for gathering URLs and endpoints
gospider	recon	Fast web spider written in Go
whois	recon	Client for the WHOIS directory service
dnstwist	recon	Domain-name permutation engine for detecting typosquatting
sublist3r	recon	Fast subdomains enumeration using search engines
knockpy	recon	Subdomain scanner via wordlist and DNS
photon	recon	Fast crawler designed for OSINT
metagoofil	fingerprint	Extract metadata from public documents of a target
exiftool	fingerprint	Read and write meta information in files
wafw00f	fingerprint	Identify and fingerprint web application firewalls
whatweb	fingerprint	Next-generation web scanner / technology fingerprinter
wappalyzer	fingerprint	Identify technologies used on websites

# ── scanner ──────────────────────────────────────────────────────────────
nuclei	scanner	Fast template-based vulnerability scanner
nikto	scanner	Web server scanner for dangerous files and misconfigurations
openvas	scanner	Open Vulnerability Assessment Scanner
nessus	scanner	Vulnerability, configuration, and compliance scanner
legion	scanner	Semi-automated network penetration testing framework
sparta	scanner	Network infrastructure penetration testing GUI
vuls	scanner	Agentless vulnerability scanner for Linux and FreeBSD
trivy	scanner	Vulnerability scanner for containers and artifacts
grype	scanner	Vulnerability scanner for container images and filesystems
lynis	scanner	Security auditing and hardening tool for Unix systems
testssl.sh	scanner	Check a server's TLS/SSL ciphers, protocols, and flaws
sslscan	scanner	Query SSL/TLS services to determine supported ciphers
sslyze	scanner	Fast and powerful SSL/TLS scanning library and CLI

# ── webapp ───────────────────────────────────────────────────────────────
sqlmap	webapp	Automatic SQL injection and database takeover tool
gobuster	webapp	Directory, DNS, and vhost brute-forcer written in Go
feroxbuster	webapp	Fast, recursive content discovery tool
dirb	webapp	Web content scanner using a wordlist
dirbuster	webapp	Multi-threaded web directory brute-forcer
wpscan	webapp	WordPress security scanner
joomscan	webapp	Joomla vulnerability scanner
droopescan	webapp	Plugin-based scanner for Drupal, SilverStripe, and more
commix	webapp	Automated command injection exploitation tool
xsser	webapp	Automated framework to detect and exploit XSS
dalfox	webapp	Fast, powerful XSS scanning and parameter analysis tool
xsstrike	webapp	Advanced XSS detection suite
arjun	webapp	HTTP parameter discovery suite
paramspider	webapp	Mine parameters from web archives for a domain
wfuzz	webapp	Web application fuzzer for brute-forcing
burpsuite	webapp	Integrated platform for web application security testing
zaproxy	webapp	OWASP Zed Attack Proxy — web app security scanner
caido	webapp	Lightweight web security auditing toolkit
whatweb	webapp	Next-generation web scanner / technology fingerprinter
cmseek	webapp	CMS detection and exploitation suite
nuclei	webapp	Fast template-based vulnerability scanner

# ── fuzzer ───────────────────────────────────────────────────────────────
ffuf	fuzzer	Fast web fuzzer written in Go
wfuzz	fuzzer	Web application fuzzer for brute-forcing
feroxbuster	fuzzer	Fast, recursive content discovery tool
afl-fuzz	fuzzer	American Fuzzy Lop instrumentation-guided fuzzer
honggfuzz	fuzzer	Security-oriented, feedback-driven fuzzer
radamsa	fuzzer	General-purpose test-case mutator
boofuzz	fuzzer	Network protocol fuzzing framework
kitty	fuzzer	Fuzzing framework for building custom fuzzers

# ── exploitation ─────────────────────────────────────────────────────────
msfconsole	exploitation	Metasploit Framework console
msfvenom	exploitation	Metasploit payload generator and encoder
searchsploit	exploitation	Command-line search for Exploit-DB
setoolkit	exploitation	Social-Engineer Toolkit
beef	exploitation	Browser Exploitation Framework
routersploit	exploitation	Exploitation framework for embedded devices
empire	exploitation	PowerShell and Python post-exploitation framework
sliver	exploitation	Adversary emulation / red-team C2 framework
havoc	exploitation	Modern and malleable post-exploitation C2 framework
villain	exploitation	Backdoor and reverse-shell management framework
crackmapexec	exploitation	Swiss-army knife for pentesting networks
netexec	exploitation	Network service exploitation tool (nxc), successor to CME

# ── cracker ──────────────────────────────────────────────────────────────
hashcat	cracker	Advanced GPU-based password recovery tool
john	cracker	John the Ripper password cracker
hydra	cracker	Fast network logon cracker supporting many protocols
medusa	cracker	Speedy, parallel, modular login brute-forcer
ncrack	cracker	High-speed network authentication cracking tool
patator	cracker	Multi-purpose brute-forcer with a modular design
crowbar	cracker	Brute-forcing tool for protocols nmap-nse can't reach
hashid	cracker	Identify the type of a given hash
hash-identifier	cracker	Identify different types of hashes
name-that-hash	cracker	Modern hash identifier with hashcat/john modes

# ── crypto ───────────────────────────────────────────────────────────────
openssl	crypto	Cryptography toolkit for TLS, keys, and certificates
gpg	crypto	GNU Privacy Guard encryption and signing
hashdeep	crypto	Compute and audit hashsets of files recursively
sops	crypto	Encrypt and manage secrets in config files
age	crypto	Simple, modern file encryption tool
featherduster	crypto	Automated, modular cryptanalysis tool
rsactftool	crypto	Attack and recover weak RSA keys (CTF-oriented)
cyberchef	crypto	The cyber Swiss-army knife for encoding and analysis

# ── windows ──────────────────────────────────────────────────────────────
impacket-secretsdump	windows	Dump SAM/LSA/NTDS secrets over the network (Impacket)
impacket-psexec	windows	PSExec-style remote execution (Impacket)
impacket-smbclient	windows	Interactive SMB client (Impacket)
impacket-GetNPUsers	windows	AS-REP roasting via Kerberos (Impacket)
impacket-GetUserSPNs	windows	Kerberoasting — request service tickets (Impacket)
evil-winrm	windows	WinRM shell for pentesting Windows hosts
bloodhound	windows	Active Directory attack-path analysis
bloodhound-python	windows	Python ingestor for BloodHound
certipy	windows	AD Certificate Services enumeration and abuse
kerbrute	windows	Brute-force and enumerate Active Directory accounts
responder	windows	LLMNR/NBT-NS/MDNS poisoner and rogue authentication server
enum4linux	windows	Enumerate information from Windows and Samba systems
enum4linux-ng	windows	Next-generation enum4linux rewrite
smbmap	windows	Enumerate SMB shares and permissions across a network
ldapsearch	windows	Query LDAP / Active Directory directory servers
netexec	windows	Network service exploitation tool (nxc), successor to CME
crackmapexec	windows	Swiss-army knife for pentesting Windows networks

# ── backdoor ─────────────────────────────────────────────────────────────
weevely	backdoor	Stealthy PHP web shell for post-exploitation
msfvenom	backdoor	Metasploit payload generator and encoder
villain	backdoor	Backdoor and reverse-shell session manager
pupy	backdoor	Cross-platform remote administration and post-exploitation
chisel	backdoor	Fast TCP/UDP tunnel over HTTP for pivoting
ligolo-ng	backdoor	Reverse tunneling and pivoting tool

# ── malware ──────────────────────────────────────────────────────────────
yara	malware	Pattern-matching engine for malware identification
clamscan	malware	ClamAV command-line virus scanner
capa	malware	Detect capabilities in executable files
floss	malware	Extract obfuscated strings from malware
die	malware	Detect It Easy — file type and packer identifier

# ── sniffer ──────────────────────────────────────────────────────────────
wireshark	sniffer	Network protocol analyzer with a GUI
tshark	sniffer	Terminal-based network protocol analyzer
tcpdump	sniffer	Command-line packet analyzer
ettercap	sniffer	Comprehensive suite for man-in-the-middle attacks
bettercap	sniffer	Swiss-army knife for network attacks and monitoring
dsniff	sniffer	Collection of tools for network auditing and sniffing
ngrep	sniffer	Network grep — apply regexes to packet payloads
netsniff-ng	sniffer	High-performance network sniffer and toolkit
